ID,requirement,functional/non-functional,source_file,data_type,ASR,ASR_Explanation
10,The system shall retrieve all user information from the Gatekeeper account system.,FR,2004 - grid bgc.pdf.csv,requirement_statement,Yes,"This requirement drives the need for an external integration layer, impacts data flow, security, and interface contract design."
11,"The system shall support the following user roles: User (general end user), Administrator (additional permissions).",FR,2004 - grid bgc.pdf.csv,requirement_statement,Yes,It drives the security architecture by requiring role‐based authentication/authorization and access‐control infrastructure.
12,End users can apply for an account directly through the web portal.,FR,2004 - grid bgc.pdf.csv,requirement_statement,No,"This is a standard user registration feature with minimal impact, implementable within existing web UI and authentication modules."
13,Users must enter all required fields when applying for an account.,FR,2004 - grid bgc.pdf.csv,requirement_statement,No,This is a standard input-validation requirement with no significant impact on system architecture.
14,The user must enter their NCAR Gatekeeper username when applying for an account.,FR,2004 - grid bgc.pdf.csv,requirement_statement,No,This is a simple UI/form validation requirement for capturing a username and does not drive any major architectural decisions.
15,The user can view their current account details.,FR,2004 - grid bgc.pdf.csv,requirement_statement,No,This basic view-account feature is a standard CRUD read operation with no broad impact on the system’s overall architecture.
16,User must be logged in to the portal to view account details.,FR,2004 - grid bgc.pdf.csv,requirement_statement,Yes,It defines an access control constraint that impacts the authentication and authorization architecture of the portal.
17,The system shall provide a means to request that the user account be deleted from the system.,FR,2004 - grid bgc.pdf.csv,requirement_statement,Yes,"This requirement drives the design of data-deletion workflows, cascade removal across services, and compliance/audit logging in the architecture."
18,The system shall notify the portal admin(s) about the delete requests.,FR,2004 - grid bgc.pdf.csv,requirement_statement,Yes,"Introducing admin notifications entails adding an event-driven messaging or email subsystem, impacting system integration and infrastructure."
19,The system shall require the user to enter their username and password to login to the system.,FR,2004 - grid bgc.pdf.csv,requirement_statement,Yes,"It impacts the security architecture by requiring an authentication subsystem for credential handling, encryption, and session management."
20,"The user shall be prompted at the beginning of the session for their credentials, once logged in they will not be prompted for additional or different credentials.",FR,2004 - grid bgc.pdf.csv,requirement_statement,Yes,"It dictates the design of the authentication and session‐management components, impacting security layers and user state handling."
21,All login actions shall be protected by using secure data channels.,NFR,2004 - grid bgc.pdf.csv,requirement_statement,Yes,This impacts the security and network architecture by requiring TLS/SSL integration for all authentication flows.
22,The system shall lock the account after 3 login attempts. This will require portal admin action to unlock the account.,FR,2004 - grid bgc.pdf.csv,requirement_statement,Yes,"It impacts the authentication architecture by requiring lockout state management, persistence of failed attempts, and an admin unlock workflow."
23,Admin users will be authenticated against the portal database.,FR,2004 - grid bgc.pdf.csv,requirement_statement,Yes,"This requirement dictates the authentication mechanism and impacts the security architecture, database schema, and data-access layer design."
24,Users will be authenticated against the NCAR Gatekeeper system.,FR,2004 - grid bgc.pdf.csv,requirement_statement,Yes,"Integration with the NCAR Gatekeeper defines critical security boundaries and drives authentication protocol, data flow, and external dependency decisions."
25,Portal Admin(s) will receive e-mail notification when new accounts are ready for review.,FR,2004 - grid bgc.pdf.csv,requirement_statement,No,This is a routine email notification feature with standard integration that does not drive major architectural changes.
26,The portal admin shall have the ability to list the user accounts in the system.,FR,2004 - grid bgc.pdf.csv,requirement_statement,No,This is a standard CRUD feature with minimal impact on high-level architectural decisions.
27,The system shall allow portal administrators the ability to control template submissions rights.,FR,2004 - grid bgc.pdf.csv,requirement_statement,Yes,"It drives the design and integration of a role-based access control layer, impacting the system’s security and module boundaries."
28,The admin can lock accounts; the user will be notified via e-mail; further logins will not be permitted until unlocked.,FR,2004 - grid bgc.pdf.csv,requirement_statement,Yes,It impacts the authentication/authorization architecture and requires integration with the email notification subsystem.
29,The admin can unlock accounts; once unlocked the user can login to the system and resume use.,FR,2004 - grid bgc.pdf.csv,requirement_statement,No,This is a routine user‐management function with no major impact on the overall system architecture.
30,The portal admin will have a display of all running jobs sorted by user.,FR,2004 - grid bgc.pdf.csv,requirement_statement,No,This is a simple UI listing/sorting feature for admins with minimal impact on the overall system architecture.
31,The portal admin shall have the ability to terminate any user’s running jobs.,FR,2004 - grid bgc.pdf.csv,requirement_statement,No,This is a straightforward RBAC extension for job management and does not drive major architectural changes.
32,The system shall assign all user accounts to the scientist role by default.,FR,2004 - grid bgc.pdf.csv,requirement_statement,No,This is a simple user provisioning detail and does not drive any major architectural decisions.
33,The system shall allow the portal admin to change a user’s role in the system.,FR,2004 - grid bgc.pdf.csv,requirement_statement,No,This is a standard user management feature with minimal impact on overall system architecture.
34,The system shall prevent the user from changing object/project values once that project has been used in a model run.,FR,2004 - grid bgc.pdf.csv,requirement_statement,No,This is a routine business rule enforceable in the domain logic/data layer without driving major architectural changes.
35,"Each object/project will have states which control when the user can change product values: Unlocked, Locked, Invalidated.",FR,2004 - grid bgc.pdf.csv,requirement_statement,No,This is domain-specific state management logic and does not drive high-level architectural structure or patterns.
36,"The system shall support 3 types of objects: List, Grid, Parameterization.",FR,2004 - grid bgc.pdf.csv,requirement_statement,No,This is a discrete functional feature with minimal impact on high-level architectural decisions.
37,Users can select to share specific objects with other users.,FR,2004 - grid bgc.pdf.csv,requirement_statement,Yes,This requirement impacts the core security and data-access architecture by introducing per-object permission management and ACL enforcement.
38,Users can specify which users to share the object with: all users or select specific users within the system.,FR,2004 - grid bgc.pdf.csv,requirement_statement,Yes,"Impacts the design of the access control subsystem and data model for sharing, influencing security, API and service architecture."
39,When a shared project is referenced in the system the underlying datasets will NOT be copied.,FR,2004 - grid bgc.pdf.csv,requirement_statement,Yes,"This impacts the data storage and access architecture by enforcing reference-based handling, consistency, and lifecycle management instead of data duplication."
40,Once a shared project has been referenced elsewhere in the system it will be in a locked state.,FR,2004 - grid bgc.pdf.csv,requirement_statement,Yes,"It mandates a global locking mechanism for shared projects, impacting data model, state management, and concurrency control across the system."
41,Users can create new dataset project by merging existing objects of the same type (list or grid).,FR,2004 - grid bgc.pdf.csv,requirement_statement,No,This is a localized functional feature (dataset merging) that doesn’t drive high-level architectural patterns or cross-cutting concerns.
42,The system shall display dataset metadata to allow users to screen data prior to merging operations.,FR,2004 - grid bgc.pdf.csv,requirement_statement,No,This is a routine UI feature for metadata display that does not impose significant architectural changes.
43,The user shall specify the type of project during initial setup; either List or Grid.,FR,2004 - grid bgc.pdf.csv,requirement_statement,No,"This is a simple UI configuration choice affecting only the presentation layer, not core architectural structure."
44,The system shall only allow the user to reference datasets of the same type as specified in the project.,FR,2004 - grid bgc.pdf.csv,requirement_statement,No,This is a domain-level data validation rule enforceable within existing modules without requiring new architectural components.
45,Projects cannot be shared or be templates.,FR,2004 - grid bgc.pdf.csv,requirement_statement,No,This requirement only constrains specific business logic around project sharing and templating and does not drive any core architectural changes.
46,"The user can create new projects (List data projects, Grid projects).",FR,2004 - grid bgc.pdf.csv,requirement_statement,No,This is a standard CRUD/UI feature with no significant impact on the overall system architecture.
47,The system shall allow the user to only select referenced objects that are of the appropriate type.,FR,2004 - grid bgc.pdf.csv,requirement_statement,No,This constraint involves input validation/type checking that can be handled within existing UI or service layers without impacting the overall architecture.
48,Any user of the system shall be able to use a template.,FR,2004 - grid bgc.pdf.csv,requirement_statement,No,This is a routine functional requirement with minimal impact on the overall system architecture.
49,Only users with template submission privileges can submit new templates.,FR,2004 - grid bgc.pdf.csv,requirement_statement,No,This is a routine access‐control check using existing user roles and privileges without requiring a change to the overall system architecture.
50,Once a template has been submitted it can no longer be edited.,FR,2004 - grid bgc.pdf.csv,requirement_statement,No,This is a standard domain rule enforceable in the service or persistence layer without requiring new architectural patterns.
51,"The system shall allow the following users to delete templates from the system: Portal Admin(s), the user who originally created the template.",FR,2004 - grid bgc.pdf.csv,requirement_statement,Yes,This requirement drives the design of the system’s authorization architecture by specifying role-based access control constraints for delete operations.
52,The system shall provide portal admin(s) with a list of all system templates by project type.,FR,2004 - grid bgc.pdf.csv,requirement_statement,No,This is a straightforward data‐listing feature affecting only the UI and data‐access layers with minimal architectural impact.
53,The system shall provide users with a list of their templates in the system.,FR,2004 - grid bgc.pdf.csv,requirement_statement,No,This is a standard CRUD retrieval feature with minimal impact on the overall system architecture.
54,Any time a template is used the user shall get their own full private copy of the data.,FR,2004 - grid bgc.pdf.csv,requirement_statement,Yes,This mandates designing a data cloning and isolation mechanism at the storage and service layer to ensure each user receives a private full copy.
55,The user must supply a new project name when using a template before saving the project.,FR,2004 - grid bgc.pdf.csv,requirement_statement,No,This is a simple UI/input validation requirement and does not affect the system’s architectural structure.
56,If the template references a non-shared data resource the user must choose a new dataset before saving the project.,FR,2004 - grid bgc.pdf.csv,requirement_statement,No,This is a business rule affecting user flow and validation logic without requiring significant architectural changes.
57,"The system shall support the following projection types: Geographic, UTM, Albers Conical Equal Area, Lambert Conformal Conic, Lambert Azimuthal Equal Area, Interrupted Goode Homolosine, Interrupted Mollweide.",FR,2004 - grid bgc.pdf.csv,requirement_statement,No,Supporting specific map projections is a detailed functional requirement handled by GIS libraries and does not drive high-level architectural structure.
58,Projection Objects can be templates.,FR,2004 - grid bgc.pdf.csv,requirement_statement,Yes,"Introducing Projection Object templates requires a templating engine and impacts the domain model, persistence layer, and rendering pipeline."
59,The system shall display a list of all the objects the user currently has in the system.,FR,2004 - grid bgc.pdf.csv,requirement_statement,No,This is a basic UI listing function with negligible impact on the overall system architecture.
60,"The system shall display the object details, including all metadata associated for the object.",FR,2004 - grid bgc.pdf.csv,requirement_statement,No,This is a basic functional display requirement with minimal impact on the overall system architecture.
61,The system shall allow the user to delete an unlocked project/object.,FR,2004 - grid bgc.pdf.csv,requirement_statement,No,This is a basic CRUD operation with minimal impact on the overall system architecture.
62,The system shall allow the user to delete a locked project/object under the following conditions: the user has selected to delete all associated projects/objects that reference the project/object.,FR,2004 - grid bgc.pdf.csv,requirement_statement,No,This is a detailed business rule for cascade deletion and does not impose significant architectural constraints.
63,The system shall delete all associated input and model output data for this project/object during deletion.,FR,2004 - grid bgc.pdf.csv,requirement_statement,Yes,"This requirement impacts the data storage and deletion architecture by mandating cascade deletes, integrity checks, and compliance-driven purge mechanisms."
64,The system shall allow user to start a new model run.,FR,2004 - grid bgc.pdf.csv,requirement_statement,No,This basic model run initiation feature doesn’t impose significant architectural constraints beyond a standard job execution workflow.
65,The system shall display a list of computational resources to select from for model runs.,FR,2004 - grid bgc.pdf.csv,requirement_statement,No,This is a UI-level functional detail and does not drive architectural structure or significant cross-cutting concerns.
66,The system shall provide the user with an approximate execution time estimate based on the computational resource selected.,FR,2004 - grid bgc.pdf.csv,requirement_statement,Yes,"This requirement drives the addition of a performance‐prediction component and integration with resource‐monitoring modules, impacting the overall system structure."
67,The system shall allow the user to monitor and control model runs.,FR,2004 - grid bgc.pdf.csv,requirement_statement,Yes,"It requires defining asynchronous control and monitoring modules and interfaces, impacting core architectural components like execution engines, communication protocols, and observability infrastructure."
68,The system shall display a list of runs currently active for the user.,FR,2004 - grid bgc.pdf.csv,requirement_statement,No,"This simple functional display requirement does not impose structural, performance, or scalability constraints on the system architecture."
69,The system shall display the overall run status.,FR,2004 - grid bgc.pdf.csv,requirement_statement,No,"This is a simple UI display requirement with minimal impact, affecting only the presentation layer."
70,Model runs shall be monitored on a tile by tile basis; the system shall display the list of tiles for a run.,FR,2004 - grid bgc.pdf.csv,requirement_statement,Yes,"This requires per-tile data partitioning, indexing and real-time retrieval, impacting data storage, service design and UI update architecture."
71,"The system shall maintain the following information for each tile: Status (Queued, Running, Complete, Error), Stdout messages, Stderr messages.",FR,2004 - grid bgc.pdf.csv,requirement_statement,No,This is a standard data-tracking and logging requirement that doesn’t drive major architectural decisions.
72,The system shall allow the user to terminate a model run and delete all output data associated with the run.,FR,2004 - grid bgc.pdf.csv,requirement_statement,No,This is a routine data cleanup and process-control feature that does not drive high-level architectural decisions.
73,The system shall allow a user to restart a model run under the following conditions: previous instance has completed or been terminated; all previous model output will be deleted prior to starting the run.,FR,2004 - grid bgc.pdf.csv,requirement_statement,Yes,"This impacts the system’s run lifecycle and storage management architecture by requiring atomic state resets, output deletion, and proper run-state transitions."
74,The system shall allow the user to download the output data from the portal.,FR,2004 - grid bgc.pdf.csv,requirement_statement,No,This standard data-export feature can be implemented with existing file-generation and streaming components without driving major architectural changes.
75,The system shall display a list of all the output tiles to the user.,FR,2004 - grid bgc.pdf.csv,requirement_statement,No,This is a basic UI behavior requirement with minimal impact on the overall system architecture.
76,The system shall allow the user to download the data files on a tile by tile basis.,FR,2004 - grid bgc.pdf.csv,requirement_statement,Yes,"This requirement drives the data partitioning, storage retrieval, and API design for chunked (tile-by-tile) downloads."
77,The system shall allow the user to download the data in the native system formats and conventions only.,FR,2004 - grid bgc.pdf.csv,requirement_statement,No,This is a detailed export feature requirement and does not drive fundamental architectural structure or major decisions.
78,Plant Functional Type Objects can be shared.,FR,2004 - grid bgc.pdf.csv,requirement_statement,Yes,"This requirement impacts the architecture of data modeling, service/API design, concurrency control, caching, and access/security mechanisms for shared Plant Functional Type objects."
79,Plant Functional Type Objects can NOT be templates.,FR,2004 - grid bgc.pdf.csv,requirement_statement,No,This is a domain-model constraint on object instantiation with minimal impact on the overall system architecture.
80,"User can upload files to the system for Plant Functional Type Objects (EPC File Format, Raw ASCII file format).",FR,2004 - grid bgc.pdf.csv,requirement_statement,Yes,"This requirement drives the design of a file ingestion and parsing subsystem (including storage, validation, and format‐specific parsers), impacting component boundaries and data flow architecture."
81,User can hand enter the values for Plant Functional Type Objects.,FR,2004 - grid bgc.pdf.csv,requirement_statement,No,This is a straightforward user-input feature with minimal impact on overall system architecture.
82,User can hand enter the PFT Id number for Plant Functional Type Objects.,FR,2004 - grid bgc.pdf.csv,requirement_statement,No,This is a UI-level input feature with minimal impact on the overall system architecture.
83,The system shall allow the user to download the data in an EPC file format for Plant Functional Type Objects.,FR,2004 - grid bgc.pdf.csv,requirement_statement,Yes,It impacts the architecture by requiring a dedicated export service and integration of EPC file-generation and data-transformation components.
84,Output Specification Objects can be templates.,FR,2004 - grid bgc.pdf.csv,requirement_statement,Yes,"It requires integrating a templating engine into the output processing pipeline, altering the object model and rendering flow."
85,The system shall provide a graphical user interface to manage the output parameters for Output Specification Objects.,FR,2004 - grid bgc.pdf.csv,requirement_statement,Yes,It impacts the architectural layering and technology stack for the front-end GUI and its integration with back-end services.
86,The system shall provide 1 level of parameter categorization for Output Specification Objects.,FR,2004 - grid bgc.pdf.csv,requirement_statement,No,This is a low-level functional detail affecting data modeling of output specifications without imposing system-wide architectural constraints.
87,The system shall provide a list of all parameters for each category for Output Specification Objects.,FR,2004 - grid bgc.pdf.csv,requirement_statement,No,This is a routine functional detail with no significant impact on system architecture.
88,The system shall allow the user to select individual parameters as needed for Output Specification Objects.,FR,2004 - grid bgc.pdf.csv,requirement_statement,No,This is a UI-level functional detail with minimal impact on the overall system architecture.
89,The system shall provide a display of the categories a user currently has selected for Output Specification Objects.,FR,2004 - grid bgc.pdf.csv,requirement_statement,No,It’s a UI display requirement with minimal impact on core architectural components.
90,The system shall provide a method to add new categories to the project for Output Specification Objects.,FR,2004 - grid bgc.pdf.csv,requirement_statement,No,This is a routine CRUD feature for managing metadata and does not necessitate changes to the system’s core architectural structure.
91,The system shall provide a method to remove categories from the project for Output Specification Objects.,FR,2004 - grid bgc.pdf.csv,requirement_statement,No,This is a basic CRUD operation for managing categories and does not impose significant architectural constraints.
92,The system shall allow the user to modify an unlocked Output Specification Object.,FR,2004 - grid bgc.pdf.csv,requirement_statement,No,This is a routine CRUD enhancement with minimal impact on the system’s high-level architecture.
93,The system shall allow users to delete unlocked Output Specification Objects.,FR,2004 - grid bgc.pdf.csv,requirement_statement,No,This is a standard CRUD operation on unlocked objects with minimal impact on the overall system architecture.
94,The system shall allow users to delete locked Output Specification Objects under the following conditions: the user shall be able to choose to delete all objects referencing this object.,FR,2004 - grid bgc.pdf.csv,requirement_statement,Yes,"It impacts the data model and transaction architecture by introducing cascade‐delete policies and lock management, affecting referential integrity and consistency."
95,Nitrogen Deposition Objects can be templates.,FR,2004 - grid bgc.pdf.csv,requirement_statement,No,This is a local object‐modeling feature impacting template handling but not driving core architectural decisions.
96,The system shall allow the user to delete unlocked Nitrogen Deposition Objects.,FR,2004 - grid bgc.pdf.csv,requirement_statement,No,This is a standard CRUD operation with no significant impact on high-level architectural structure.
97,The system shall allow the user to delete locked Nitrogen Deposition Objects; all dependant objects/projects shall be invalidated.,FR,2004 - grid bgc.pdf.csv,requirement_statement,Yes,This requirement impacts the core data model and requires implementing cascade invalidation across transactions or event-driven service interactions.
98,The system shall change the project to an unlocked state and invalidate all dependant projects when an object is invalidated.,FR,2004 - grid bgc.pdf.csv,requirement_statement,Yes,"It mandates cascading state changes and dependency invalidations, requiring an event-driven or transactional propagation mechanism in the system architecture."
99,The system shall allow the user to create a new disturbance object.,FR,2004 - grid bgc.pdf.csv,requirement_statement,No,This is a basic CRUD operation with minimal impact on the overall system architecture.
100,The system shall list the user’s disturbance objects in the system and list the object details.,FR,2004 - grid bgc.pdf.csv,requirement_statement,No,This is a routine CRUD-style feature with no significant impact on high-level system structure or quality attributes.
101,The system shall allow users to edit unlocked disturbance objects.,FR,2004 - grid bgc.pdf.csv,requirement_statement,No,This is a standard CRUD operation with no significant impact on the system’s architectural structure or key quality attributes.
102,The system shall allow users to edit locked disturbance objects and invalidate dependent objects.,FR,2004 - grid bgc.pdf.csv,requirement_statement,Yes,This requirement drives the design of concurrency control and transaction boundaries by requiring lock override and cascading invalidation logic.
103,The system shall allow the user to delete unlocked disturbance objects.,FR,2004 - grid bgc.pdf.csv,requirement_statement,No,This is a standard CRUD operation (deletion of unlocked disturbance objects) with minimal architectural impact.
104,The system shall allow the user to delete locked disturbance objects; all dependant objects/projects shall be invalidated.,FR,2004 - grid bgc.pdf.csv,requirement_statement,Yes,"It impacts the data model, transaction and locking strategy, and requires cascade invalidation mechanisms across modules."
105,The system shall allow the user to define a simulation topology for BiomeBGC Project.,FR,2004 - grid bgc.pdf.csv,requirement_statement,Yes,It affects the design of the configuration subsystem and core simulation engine interfaces for flexible topology definition.
106,The system shall allow the user to create new blank BiomeBGC projects.,FR,2004 - grid bgc.pdf.csv,requirement_statement,No,This is a basic CRUD feature (project creation) with minimal impact on the overall system architecture.
107,The system shall list all the user’s BiomeBGC projects in the system and display all the project details.,FR,2004 - grid bgc.pdf.csv,requirement_statement,No,This is a standard CRUD-style listing requirement with minimal impact on overall system architecture.
108,The system shall allow the user to change the project details for unlocked BiomeBGC projects.,FR,2004 - grid bgc.pdf.csv,requirement_statement,No,This is a standard CRUD operation that doesn’t drive high‐level architectural decisions.
109,"The system shall allow the user to ability to invalidate a locked BiomeBGC project, which will trigger all downstream projects to be invalidated.",FR,2004 - grid bgc.pdf.csv,requirement_statement,Yes,It requires designing a cascade invalidation mechanism that impacts event propagation and consistency management across dependent projects.
110,The system shall allow the user to delete unlocked BiomeBGC projects.,FR,2004 - grid bgc.pdf.csv,requirement_statement,No,This is a standard CRUD operation with minimal impact on the overall system architecture.
111,The system shall allow the user to delete locked BiomeBGC projects; all dependant objects/projects shall be invalidated.,FR,2004 - grid bgc.pdf.csv,requirement_statement,Yes,"It requires designing cascade-delete and invalidation workflows that affect the data model, transaction management, and dependency handling."
112,The system shall allow user to start a new BiomeBGC model run.,FR,2004 - grid bgc.pdf.csv,requirement_statement,No,This is a straightforward functional requirement with no broad impact on the system’s architectural structure.
113,The system shall display a list of computational resources to select from for BiomeBGC model runs.,FR,2004 - grid bgc.pdf.csv,requirement_statement,No,This is a UI-level feature for resource selection and does not drive core architectural decisions.
114,The system shall allow the user to monitor and control BiomeBGC model runs.,FR,2004 - grid bgc.pdf.csv,requirement_statement,Yes,"This requires asynchronous task management with real-time progress reporting and control interfaces, impacting component communication and concurrency handling."
115,The system shall display a list of runs currently active for the user for BiomeBGC model runs.,FR,2004 - grid bgc.pdf.csv,requirement_statement,No,This is a routine UI/data‐retrieval feature with minimal impact on the overall system architecture.
116,The system shall display the overall run status for BiomeBGC model runs.,FR,2004 - grid bgc.pdf.csv,requirement_statement,No,This is a basic functional display requirement with minimal impact on the overall system architecture.
117,BiomeBGC model runs shall be monitored on a tile by tile basis; the system shall display the list of tiles for a run.,FR,2004 - grid bgc.pdf.csv,requirement_statement,No,This is a straightforward UI monitoring feature with minimal impact on the overall system architecture.
118,"The system shall maintain the following information for each tile: Status (Queued, Running, Complete, Error), Stdout messages, Stderr messages for BiomeBGC model runs.",FR,2004 - grid bgc.pdf.csv,requirement_statement,No,This is a routine data persistence requirement for tile state and logs that doesn’t drive high-level architectural decisions.
119,The system shall allow the user to terminate a BiomeBGC model run and delete all output data associated with the run.,FR,2004 - grid bgc.pdf.csv,requirement_statement,Yes,It impacts the job‐management architecture by requiring process termination hooks and coordinated storage cleanup mechanisms.
120,The system shall allow a user to restart a BiomeBGC model run under the following conditions: previous instance has completed or been terminated.,FR,2004 - grid bgc.pdf.csv,requirement_statement,Yes,It impacts the system’s process orchestration and state‐persistence architecture by requiring checkpointing and controlled restart of model runs.
121,The system shall change the BiomeBGC project to an unlocked state and invalidate all dependant projects when a project is invalidated.,FR,2004 - grid bgc.pdf.csv,requirement_statement,Yes,It impacts the system’s domain model and event/transaction architecture by requiring cascading state changes and dependency invalidation across projects.
122,The system shall delete the output data project if created and delete all the files from disk storage as well when a BiomeBGC project is invalidated.,FR,2004 - grid bgc.pdf.csv,requirement_statement,No,This is a routine data-cleanup functional requirement with no major impact on the overall system architecture.
123,BiomeBGC Output Objects can be shared.,FR,2004 - grid bgc.pdf.csv,requirement_statement,Yes,"This requirement impacts the system’s data distribution and state‐management architecture by requiring serialization, synchronization, and access control for shared output objects."
124,BiomeBGC Output Objects can NOT be templates.,FR,2004 - grid bgc.pdf.csv,requirement_statement,No,This is an implementation‐level constraint on class design rather than a driver of the system’s high-level architecture.
125,The systems shall automatically create BiomeBGC Output Objects for completed simulation runs.,FR,2004 - grid bgc.pdf.csv,requirement_statement,No,This is a specific functional behavior that doesn’t drive high-level architectural structure or significant design patterns.
126,The system shall allow the user to download the output data from the portal for BiomeBGC Output Objects.,FR,2004 - grid bgc.pdf.csv,requirement_statement,No,This download feature can be implemented within the existing service and storage layers without altering the overall system architecture.
127,The system shall display a list of all the output tiles to the user for BiomeBGC Output Objects.,FR,2004 - grid bgc.pdf.csv,requirement_statement,No,This is a UI-level functional detail with no broad impact on system architecture or major quality attributes.
128,The system shall allow the user to download the data files on a tile by tile basis for BiomeBGC Output Objects.,FR,2004 - grid bgc.pdf.csv,requirement_statement,Yes,"It drives the data access and API architecture to support efficient tile-based chunking, streaming, and file retrieval."
129,The system shall allow the user to download the data in the native system formats and conventions only for BiomeBGC Output Objects.,FR,2004 - grid bgc.pdf.csv,requirement_statement,No,"This is a localized data export requirement affecting only the download module’s formatting logic, not the overall system architecture."
130,"The web portal shall be usable in the following web browsers: Internet Explorer 6.0, Netscape 7.1, Safari 1.2.1.",NFR,2004 - grid bgc.pdf.csv,requirement_statement,Yes,"This browser compatibility requirement constrains front-end architecture choices, rendering engine support and testing strategies."
131,The system shall require the users enable cookies to use the system.,NFR,2004 - grid bgc.pdf.csv,requirement_statement,No,This cookie requirement is an implementation detail for client-side session handling and does not drive major structural or component decisions.
132,The system shall allow users the ability to store data on the NCAR Mass Storage System.,FR,2004 - grid bgc.pdf.csv,requirement_statement,Yes,"This requirement drives the overall system architecture by mandating integration, data transfer protocols, and security considerations for the NCAR Mass Storage System."
133,The system shall provide the portal admin a function to validate file references in the system correspond to actual files on the storage system.,FR,2004 - grid bgc.pdf.csv,requirement_statement,No,This is a localized admin feature with minimal impact on the overall system architecture.
134,The system shall generate a listing of any missing files.,FR,2004 - grid bgc.pdf.csv,requirement_statement,No,This is a routine file-verification feature with minimal impact on overall system architecture.
135,The system shall list all the compute nodes and display the compute node resource details.,FR,2004 - grid bgc.pdf.csv,requirement_statement,No,This is a standard data‐retrieval feature with minimal impact on the overall system architecture.
136,"The system shall allow the admin to manage compute resources: add new nodes, lock a node, unlock a node, delete nodes.",FR,2004 - grid bgc.pdf.csv,requirement_statement,No,This is a straightforward CRUD-style admin feature with minimal impact on overall system architecture.
0,ETCS shall provide the driver with information to allow him to drive the train safely.,FR,2007 - ertms.pdf.csv,requirement_statement,No,This high-level functional requirement is too generic and doesn’t impose specific architectural constraints or patterns.
1,ETCS shall be able to supervise train and shunting movements.,FR,2007 - ertms.pdf.csv,requirement_statement,Yes,"It drives the design of real-time, safety-critical supervision modules and integration interfaces within the ETCS architecture."
2,If the supervision is performed by a RBC it shall be possible to prevent movements of a traction unit in its area if not authorised by the RBC.,FR,2007 - ertms.pdf.csv,requirement_statement,Yes,"Requires incorporating secure authorization checks and fail-safe movement blocking into the RBC-traction control architecture, impacting component interfaces and safety design."
3,ETCS is required to be functional to a maximum train speed of 500 km/h.,FR,2007 - ertms.pdf.csv,requirement_statement,Yes,"This high-speed requirement drives architecture choices for real-time data processing, low-latency communication, sensor accuracy, and hardware performance."
4,"The following definitions shall apply for the ETCS application levels: Level 0: ETCS active for limited train control function; trackside not fitted with any train control system or fitted with a train control system for which no STM is available onboard. Level 1: Basic track to train information via intermittent transmission media, e.g. balises. This information can be supported by infill, transmitted via balise, loop or radio. Level 2: Basic track to train and train to track information via continuous transmission media, i.e. radio. The train detection is provided by trackside. Level 3: Same as level 2 except that train integrity is provided by onboard and therefore trackside train detection is optional. Level STM (Specific Transmission Module): Track to train information provided by national system. Onboard functions provided by national system (STM) in co-operation with onboard ETCS.",FR,2007 - ertms.pdf.csv,requirement_statement,Yes,"This defines core ETCS modes and communication interfaces, driving system decomposition, component boundaries and infrastructure design."
5,It shall be possible to implement one or more of the ETCS application levels on a line.,FR,2007 - ertms.pdf.csv,requirement_statement,Yes,"It requires a modular, configurable architecture to support and integrate multiple ETCS application levels, impacting componentization and interfaces."
